node,publications,degree
"Duong, D.H.",1,0
"Susilo, W.",1,0
"Fukushima, K.",1,0
"Kiyomoto, S.",1,0
"How, M.-L.",1,0
"Cheah, S.-M.",1,0
"Chan, Y.J.",1,0
"Khor, A.C.",1,0
"Say, E.M.P.",1,0
"Sentuti, A.",1,0
"Chamochumbi Diaz, G.D.",1,0
"Cesaroni, F.M.",1,0
Ozili,31,1
P.K.,32,1
"Chitimira, H.",5,1
"Warikandwa, T.V.",1,0
Warikandwa,1,0
T.V.,1,0
"Nyagadza, B.",1,0
"Muzira, D.R.",1,0
"Chuchu, T.",2,0
"Tuba, M.D.",1,0
"Lawack, V.A.",1,0
"Ncube, M.",1,0
"Han, Z.",1,0
"Zeng, Z.",1,0
"Yang, L.",3,1
"Yuan, F.",1,0
"Xiao, Q.",1,0
"Sun, X.",5,0
"Nwankwo, W.",1,0
"Chinedu, P.U.",1,0
"Aliu, A.",1,0
"Shaba, S.M.",1,0
"Muyideen, M.O.",1,0
"Nwankwo, C.P.",1,0
"Adigwe, W.",1,0
"Oghoriodo, D.",1,0
"Uwadia, F.",1,0
"Issami, M.A.",1,0
"Tandamba, B.",1,0
"Azirar, H.",1,0
"Benyacoub, B.",1,0
"Aguenaou, S.",1,0
"Adel, Z.",1,0
"Hasan, A.B.",1,0
"Redhouane, L.",1,0
"Salaudeen, A.O.",1,0
"Sa’Ad, A.A.",1,0
"Suleiman, H.",1,0
"Abdullahi, A.",2,1
"Farah, A.A.",2,0
"Saleh, A.O.H.",1,0
"Redzuan, N.",3,4
"Rosman, R.",3,4
"Muhammad Zuki, M.F.",2,4
"Shaharuddin, S.S.",3,4
"Saffa’, S.",1,0
"Arifin, A.",1,0
"Hafiz, A.",1,0
"Abdelhak, T.",1,0
"Sharofiddin, A.",1,0
"Mahadi, N.F.B.",2,0
"Muhammad, N.M.",2,1
"Ali, E.R.A.B.E.",1,0
"Tsai, W.-T.",1,0
"Yang, D.",4,0
"Fan, Z.",1,0
"Zhang, F.",3,0
"Yu, L.",3,0
"Zhang, H.",9,0
"Razia, B.",1,0
"Awwad, B.",1,0
Sebele-Mpofu,5,1
F.Y.,5,1
"Warsame, M.H.",2,1
"Lasyoud, A.A.",1,0
"Abdalla, Y.A.",2,1
Mhlanga,10,1
"Ndhlovu, E.",1,0
"Sebele-Mpofu, F.Y.",2,0
Hofisi,1,0
"Farah, M.F.",2,0
"Naveed, M.",2,1
"Ali, S.",6,1
Shildina,1,0
M.V.,1,0
"Abrantes, B.F.",1,0
"Hang, D.T.",1,0
"Nzeket Njoya, A.",1,0
"Tchakounté, F.",2,1
"Atemkeng, M.",2,1
"Udagepola, K.P.",1,0
"Bassolé, D.",1,0
"Bwalya, D.",1,0
"Phiri, J.",2,0
"Senan, N.A.M.",1,0
"Khan, I.A.",1,0
"Victoria, C.",1,0
"Natalia, T.-M.",1,0
"Adarsh, R.",2,1
"Sivasubramanian, K.",2,1
"Kumarasamy, P.",1,0
"Nguyen, N.P.",4,2
"Mogaji, E.",6,2
Abuzov,1,0
"Pereira Jr., A.",1,0
"Sousa, F.",1,0
Zakowska,1,0
"Cosma, S.",1,0
"Rimo, G.",1,0
"Parduzi, A.",1,0
"Bllaca Kllokoqi, A.",1,0
"Mazllami, J.",1,0
Roggenkamp,1,0
"Chen, K.",3,0
"Lou, V.W.",1,0
"Hosen, M.",2,0
"Lim, A.-F.",1,0
"Jannat, T.",1,0
"Khan, N.R.",1,0
"Pek, C.-K.",1,0
"Redzuan, N.H.",1,0
"Mahadi, N.F.",1,0
"Ali, E.R.A.E.",1,0
"Septianingsih, R.",1,0
"Abdullah, A.",2,1
"Salleh, M.Z.M.",2,1
"Nawaz, F.",2,0
"Bushra, A.N.",1,0
"Dlamini, J.S.",1,0
"Marshall, L.",1,0
"Modupe, A.",1,0
"Kumaralalita, L.",1,0
"Zheng, Y.",3,0
"Ranabhat, D.",1,0
"Verma, N.",3,0
"Sapkota, P.",1,0
"Chhetri, S.D.",1,0
"De Waal, H.",2,2
"Nyawa, S.",2,2
Prasanna,1,0
"Shrestha, D.",2,3
"Poudel, K.",1,1
"Adhikari, R.",1,1
"Rajkarnikar, N.",1,1
"Nawi, N.C.",1,0
"Din, N.M.",1,0
"Zakaria, M.N.",1,0
"Muhammad, M.Z.",1,0
"Rooshihan, R.M.A.R.",1,0
"Mohd Radyi, S.A.M.",1,0
"Faxing, L.",1,0
"Loang, O.K.",1,0
"Almayouf, H.",1,0
"Almudhibri, S.",1,0
"Alsayegh, W.",1,0
"Alsheail, M.",1,0
"Almneiy, S.",1,0
"Albelaihi, A.",1,0
"Duhisan, H.",1,0
Idowu,1,0
D.L.,1,0
"Magale, E.G.",1,0
"Yengeni, S.E.",1,0
Ojo,2,0
T.A.,2,0
Akeju,2,1
K.F.,2,1
Chukwudum,1,0
Q.C.,1,0
Chaora,1,0
B.R.,2,0
"Purnamasari, V.",1,0
"Seprillina, L.",1,0
"Mukhlis, I.",2,0
"Yusida, E.",1,0
"Cahayati, N.",1,0
"Wulandari Laksmi P, K.",1,0
"Ariwangsa, I.G.N.O.",1,0
"Lasmi, N.W.",1,0
"Apriadi, I.D.M.A.",1,0
"Basmantra, I.N.",1,0
"Junianti, P.",1,0
"Bhatti, O.K.",1,0
"Liao, G.",1,0
"Chung, T.",1,0
"Ngxabani, K.",1,0
"Budree, A.",1,0
"Suparlan, Z.",1,0
"Kiryanto, N.",1,0
"Anik, S.",1,0
"Shafi, M.K.",1,0
"Shafi, K.",1,0
"Shaik, S.",1,0
Remolina,1,0
N.,32,4
"Budiadnyani, N.P.",1,0
"Dewi, P.P.R.A.",1,0
"Arlita, I.G.A.D.",1,0
"Kusuma, P.S.A.J.",1,0
"Anagreh, S.",1,0
"Al-Momani, A.",1,0
"Maabreh, H.M.A.",1,0
"Al Sharairi, J.A.",1,0
"Alrfai, M.M.",1,0
"Abu Haija, A.A.A.",1,0
