source,target,weight
"Singh, R.","Banerjee, J.",2
"Mishra, V.","Srivastava, A.",2
"Singh, S.","Fang, J.",2
"Singh, S.","Russell, R.",2
"Singh, S.","Sharma, M.",2
E.,Kozol,2
"Saani, M.R.","Salifu, M.",2
"Abor, J.Y.","Agbloyor, E.",2
"Abor, J.Y.","Issahaku, H.",3
"Abor, J.Y.","Amidu, M.",3
R.,Yorulmaz,2
R.,Chamboko,2
R.,Carrillo,2
"Kumar, P.","Pillai, R.",2
"Kumar, P.","Bhatnagar, M.",2
"Kumar, P.","Taneja, S.",3
"Kumar, P.","Özen, E.",2
Lawack,V.,2
V.,Guermond,4
V.,Kandpal,2
"Song, I.","Vong, J.",3
"Saxena, R.","Sinha, M.",2
"Fang, J.","Russell, R.",2
"Sherraden, M.S.","Ansong, D.",2
"Sherraden, M.S.","Johnson, L.",2
"Sherraden, M.S.","Huang, J.",4
"Sherraden, M.S.","Nam, Y.",2
"Sherraden, M.S.","Lee, E.J.",2
"Wang, X.","Wang, X.",2
"Wang, X.","Huang, Y.",2
"Wang, L.","Wang, Y.",2
"Yang, C.","Chen, L.",2
"Wang, B.","Huang, J.",2
"Liu, Z.","Chen, J.-K.",3
"Panos, G.A.","Klapper, L.",2
"Newman, A.","Schwarz, S.",2
"Joia, L.A.","Dos Santos, R.P.",3
"Joia, L.A.","Lorenzo, M.",2
"Mendy, G.","Ouya, S.",2
"Kumar, A.","Hota, S.L.",2
"Kumar, A.","Murthy, S.",2
"Kumar, A.","Gunday, I.",2
"Kumar, A.","Rani, S.",2
"Singh, D.","Stakić, N.",2
"Ansong, D.","Sherraden, M.",2
"Ansong, D.","Okumu, M.",3
"Ansong, D.","Koomson, I.",2
"Li, Y.","Xu, S.",2
"Li, Y.","Ali, S.T.",2
"Nandru, P.","Madhavaiah, M.",3
"Jain, P.","Kumar Sharma, B.K.",2
"Jain, P.","Jain, R.",2
"Jain, M.","Nagpal, A.",2
"Jain, M.","Jain, A.",2
"Ukwueze, E.R.","Asogwa, H.T.",2
X.,Xu,2
"Veena, N.","Thejaswini, S.",2
"Tunzina, T.","Chayon, M.A.K.",2
"Tunzina, T.","Jitu, P.G.",2
"Tunzina, T.","Ankon, M.U.",2
"Tunzina, T.","Joy, S.N.",2
"Tunzina, T.","Shaha, R.K.",2
"Tunzina, T.","Islam, M.M.",2
"Tunzina, T.","Hussain, M.S.",2
"Chayon, M.A.K.","Jitu, P.G.",2
"Chayon, M.A.K.","Ankon, M.U.",2
"Chayon, M.A.K.","Joy, S.N.",2
"Chayon, M.A.K.","Shaha, R.K.",2
"Chayon, M.A.K.","Islam, M.M.",2
"Chayon, M.A.K.","Hussain, M.S.",2
"Jitu, P.G.","Ankon, M.U.",2
"Jitu, P.G.","Joy, S.N.",2
"Jitu, P.G.","Shaha, R.K.",2
"Jitu, P.G.","Islam, M.M.",2
"Jitu, P.G.","Hussain, M.S.",2
"Ankon, M.U.","Joy, S.N.",2
"Ankon, M.U.","Shaha, R.K.",2
"Ankon, M.U.","Islam, M.M.",2
"Ankon, M.U.","Hussain, M.S.",2
"Joy, S.N.","Shaha, R.K.",2
"Joy, S.N.","Islam, M.M.",2
"Joy, S.N.","Hussain, M.S.",2
"Shaha, R.K.","Islam, M.M.",2
"Shaha, R.K.","Hussain, M.S.",2
"Islam, M.M.","Hussain, M.S.",2
"Kobusingye, B.M.","Nagwovuma, M.",2
"Kobusingye, B.M.","Nansamba, B.",2
"Kobusingye, B.M.","Marvin, G.",2
"Nagwovuma, M.","Nansamba, B.",2
"Nagwovuma, M.","Marvin, G.",2
"Nansamba, B.","Marvin, G.",2
C.S.,Hossein,3
"Hussain, S.","Rasheed, A.",2
"Khan, F.","Siddiqui, M.A.",2
"Khan, F.","Imtiaz, S.",2
A.M.,Ally,2
"Singh, G.","Khobragade, A.",2
"Singh, G.","Balachandran, R.",2
"Singh, G.","Gupta, B.",2
"Singh, G.","Saroy, R.",2
"Singh, G.","Awasthy, S.",2
"Singh, G.","Misra, R.",3
"Singh, G.","Dhal, S.",2
"Singh, G.","Bhullar, P.S.",2
"Singh, G.","Gupta, P.",2
"Yadav, P.","Sharma, A.K.",2
"Raza, H.","Riaz, A.",2
"Raza, H.","Riaz, N.",2
"Riaz, A.","Riaz, N.",2
"Mahajan, S.","Pandey, P.K.",2
"Pandey, P.K.","Guleria, N.",2
"Pandey, P.K.","Jindal, M.",2
"Pandey, P.K.","Haque, M.M.",2
"Bhowmik, B.","Girish, K.K.",3
"Fernández-López, S.","Rey-Ares, L.",4
"Fernández-López, S.","Álvarez-Espiño, M.",3
"Fernández-López, S.","Castro-González, S.",2
"Okyere, C.Y.","Atta-Ankomah, R.",4
"Okyere, C.Y.","Asante-Addo, C.",3
"Atta-Ankomah, R.","Asante-Addo, C.",3
"Villano, R.A.","Koomson, I.",4
"Villano, R.A.","Hadley, D.",2
"Koomson, I.","Hadley, D.",2
"Koomson, I.","Okumu, M.",2
"Koomson, I.","Bukari, C.",2
"Kodom, M.","Ackah, C.",2
